Id,Married,Dependents,Education,SelfEmployed,Income,Loan,Status
LP002757,Yes,0,Not Graduate,No,3017,102,Y
LP002767,Yes,0,Graduate,No,2768,155,Y
LP002768,No,0,Not Graduate,No,3358,80,N
LP002772,No,0,Graduate,No,2526,145,Y
LP002776,No,0,Graduate,No,5000,103,N
LP002777,Yes,0,Graduate,No,2785,110,Y
LP002778,Yes,2,Graduate,Yes,6633,77,N
LP002784,Yes,1,Not Graduate,No,2492,15,Y
LP002785,Yes,1,Graduate,No,3333,158,Y
LP002788,Yes,0,Not Graduate,No,2454,181,N
LP002789,Yes,0,Graduate,No,3593,132,N
LP002792,Yes,1,Graduate,No,5468,26,Y
LP002794,No,0,Graduate,No,2667,84,Y
LP002795,Yes,5,Graduate,Yes,10139,260,Y
LP002798,Yes,0,Graduate,No,3887,162,Y
LP002804,Yes,0,Graduate,No,4180,182,Y
LP002807,Yes,2,Not Graduate,No,3675,108,Y
LP002813,Yes,1,Graduate,Yes,19484,600,Y
LP002820,Yes,0,Graduate,No,5923,211,Y
LP002821,No,0,Not Graduate,Yes,5800,132,Y
LP002832,Yes,2,Graduate,No,8799,258,N
LP002833,Yes,0,Not Graduate,No,4467,120,Y
LP002836,No,0,Graduate,No,3333,70,Y
LP002837,Yes,6,Graduate,No,3400,123,N
LP002840,No,0,Graduate,No,2378,9,N
LP002841,Yes,0,Graduate,No,3166,104,N
LP002842,Yes,1,Graduate,No,3417,186,Y
LP002847,Yes,2,Graduate,No,5116,165,N
LP002855,Yes,2,Graduate,No,16666,275,Y
LP002862,Yes,2,Not Graduate,No,6125,187,N
LP002863,Yes,4,Graduate,No,6406,150,N
LP002868,Yes,2,Graduate,No,3159,108,Y
LP002872,Yes,0,Graduate,No,3087,136,N
LP002874,No,0,Graduate,No,3229,110,Y
LP002877,Yes,1,Graduate,No,1782,107,Y
LP002888,No,0,Graduate,,3182,161,Y
LP002892,Yes,2,Graduate,No,6540,205,Y
LP002893,No,0,Graduate,No,1836,90,N
LP002894,Yes,0,Graduate,No,3166,36,Y
LP002898,Yes,1,Graduate,No,1880,61,N
LP002911,Yes,1,Graduate,No,2787,146,N
LP002912,Yes,1,Graduate,No,4283,172,N
LP002916,Yes,0,Graduate,No,2297,104,Y
LP002917,No,0,Not Graduate,No,2165,70,Y
LP002925,No,0,Graduate,No,4750,94,Y
LP002926,Yes,2,Graduate,Yes,2726,106,N
LP002928,Yes,0,Graduate,No,3000,56,Y
LP002931,Yes,2,Graduate,Yes,6000,205,N
LP002933,No,3,Graduate,Yes,9357,292,Y
LP002936,Yes,0,Graduate,No,3859,142,Y
LP002938,Yes,0,Graduate,Yes,16120,260,Y
LP002940,No,0,Not Graduate,No,3833,110,Y
LP002941,Yes,2,Not Graduate,Yes,6383,187,N
LP002943,No,2,Graduate,No,2987,88,N
LP002945,Yes,0,Graduate,Yes,9963,180,Y
LP002948,Yes,2,Graduate,No,5780,192,Y
LP002949,No,4,Graduate,,416,350,N
LP002950,Yes,0,Not Graduate,,2894,155,Y
LP002953,Yes,3,Graduate,No,5703,128,Y
LP002958,No,0,Graduate,No,3676,172,Y
LP002959,Yes,1,Graduate,No,12000,496,Y
LP002960,Yes,0,Not Graduate,No,2400,84,N
LP002961,Yes,1,Graduate,No,3400,173,Y
LP002964,Yes,2,Not Graduate,No,3987,157,Y
LP002974,Yes,0,Graduate,No,3232,108,Y
LP002978,No,0,Graduate,No,2900,71,Y
LP002979,Yes,3,Graduate,No,4106,40,Y
LP002983,Yes,1,Graduate,No,8072,253,Y
LP002984,Yes,2,Graduate,No,7583,187,Y
LP002990,No,0,Graduate,Yes,4583,133,N
